conta;ccusto;data;valor;chave;chave2
SALARIOS;PM AJU;20/05/2019;23,0537486;SALARIOSPMAJU52019LAUTO23053748599;SALARIOSPMAJU52019
SALARIOS;PM AJU;20/05/2019;8956,916521;SALARIOSPMAJU52019LAUTO89569165206906;SALARIOSPMAJU52019
SALARIOS;TRANSF NE;20/05/2019;24,14333465;SALARIOSTRANSFNE52019LAUTO241433346525;SALARIOSTRANSFNE52019
SALARIOS;TRANSF NE;20/05/2019;9380,245997;SALARIOSTRANSFNE52019LAUTO93802459970835;SALARIOSTRANSFNE52019
SALARIOS;PM BEL;20/05/2019;29,72423971;SALARIOSPMBEL52019LAUTO29724239713;SALARIOSPMBEL52019
SALARIOS;PM BEL;20/05/2019;11548,55717;SALARIOSPMBEL52019LAUTO115485571731222;SALARIOSPMBEL52019
SALARIOS;PM BHZ;20/05/2019;30,49686984;SALARIOSPMBHZ52019LAUTO304968698405;SALARIOSPMBHZ52019
SALARIOS;PM BHZ;20/05/2019;11848,74191;SALARIOSPMBHZ52019LAUTO118487419141707;SALARIOSPMBHZ52019
SALARIOS;PM CWB;20/05/2019;30,48839689;SALARIOSPMCWB52019LAUTO304883968865;SALARIOSPMCWB52019
SALARIOS;PM CWB;20/05/2019;11845,44997;SALARIOSPMCWB52019LAUTO118454499748431;SALARIOSPMCWB52019
SALARIOS;PM FOR;20/05/2019;116,2878054;SALARIOSPMFOR52019LAUTO1162878054065;SALARIOSPMFOR52019
SALARIOS;PM FOR;20/05/2019;45180,51201;SALARIOSPMFOR52019LAUTO451805120077311;SALARIOSPMFOR52019
SALARIOS;PM GIG;20/05/2019;36,73968755;SALARIOSPMGIG52019LAUTO367396875475;SALARIOSPMGIG52019
SALARIOS;PM GIG;20/05/2019;14274,22152;SALARIOSPMGIG52019LAUTO142742215195965;SALARIOSPMGIG52019
SALARIOS;PM GRU;20/05/2019;139,9134046;SALARIOSPMGRU52019LAUTO139913404631;SALARIOSPMGRU52019
SALARIOS;PM GRU;20/05/2019;54359,60577;SALARIOSPMGRU52019LAUTO543596057718714;SALARIOSPMGRU52019
SALARIOS;PM JDO;20/05/2019;8,144901034;SALARIOSPMJDO52019LAUTO81449010335;SALARIOSPMJDO52019
SALARIOS;PM JDO;20/05/2019;3164,483134;SALARIOSPMJDO52019LAUTO31644831344049;SALARIOSPMJDO52019
SALARIOS;PM MAO;20/05/2019;11,150555;SALARIOSPMMAO52019LAUTO11150555003;SALARIOSPMMAO52019
SALARIOS;PM MAO;20/05/2019;4332,249477;SALARIOSPMMAO52019LAUTO43322494774482;SALARIOSPMMAO52019
SALARIOS;PM REC;20/05/2019;69,24162294;SALARIOSPMREC52019LAUTO692416229365;SALARIOSPMREC52019
SALARIOS;PM REC;20/05/2019;26901,97795;SALARIOSPMREC52019LAUTO269019779467131;SALARIOSPMREC52019
SALARIOS;PM SSA;20/05/2019;38,50758415;SALARIOSPMSSA52019LAUTO385075841535;SALARIOSPMSSA52019
