conta;ccusto;data;valor;chave;chave2
SEGURO DE VEICULO;PM GYN;01/05/2019;1482,4;SEGURODEVEICULOPMGYN52019INVES14824;SEGURODEVEICULOPMGYN52019
SEGURO DE VEICULO;PM GYN;01/05/2019;1482,4;SEGURODEVEICULOPMGYN52019INVES14824;SEGURODEVEICULOPMGYN52019
SERVICOS PRESTADOS;GSUPRIM;09/05/2019;1500;SERVICOSPRESTADOSGSUPRIM52019BMS1500;SERVICOSPRESTADOSGSUPRIM52019
SERVICOS PRESTADOS;INVEST;07/05/2019;1455;SERVICOSPRESTADOSINVEST52019ANAC1455;SERVICOSPRESTADOSINVEST52019
SERVICOS PRESTADOS;MONT CBPNM;02/05/2019;1110;SERVICOSPRESTADOSMONTCBPNM52019GABRI1110;SERVICOSPRESTADOSMONTCBPNM52019
TAXA RASTREAMENTO;GF;04/05/2019;1499,101791;TAXARASTREAMENTOGF52019SASCA1499101791;TAXARASTREAMENTOGF52019
TAXAS E ALVARAS;AZUL NAT;13/05/2019;23,948;TAXASEALVARASAZULNAT52019GOVER23948;TAXASEALVARASAZULNAT52019
TAXAS E ALVARAS;COM NAT;13/05/2019;62,2648;TAXASEALVARASCOMNAT52019GOVER622648;TAXASEALVARASCOMNAT52019
TAXAS E ALVARAS;CONTAB;02/05/2019;2188;TAXASEALVARASCONTAB52019JUNTA2188;TAXASEALVARASCONTAB52019
TAXAS E ALVARAS;DHL NAT;13/05/2019;11,974;TAXASEALVARASDHLNAT52019GOVER11974;TAXASEALVARASDHLNAT52019
TAXAS E ALVARAS;DIRETORIA;02/05/2019;409,1500027;TAXASEALVARASDIRETORIA52019LAUTO4091500027425;TAXASEALVARASDIRETORIA52019
TAXAS E ALVARAS;GSUPRIM;02/05/2019;48,80999692;TAXASEALVARASGSUPRIM52019LAUTO488099969175;TAXASEALVARASGSUPRIM52019
TAXAS E ALVARAS;JURIDICO;02/05/2019;77,0399996;TAXASEALVARASJURIDICO52019LAUTO77039999595;TAXASEALVARASJURIDICO52019
TAXAS E ALVARAS;MART NAT;13/05/2019;11,974;TAXASEALVARASMARTNAT52019GOVER11974;TAXASEALVARASMARTNAT52019
TAXAS E ALVARAS;PM NAT;13/05/2019;129,3192;TAXASEALVARASPMNAT52019GOVER1293192;TAXASEALVARASPMNAT52019
TELEFONIA E INTERNET;AZUL NAT;15/05/2019;60,53;TELEFONIAEINTERNETAZULNAT52019VIVO6053;TELEFONIAEINTERNETAZULNAT52019
TELEFONIA E INTERNET;CEP;14/05/2019;9,402967;TELEFONIAEINTERNETCEP52019TELEM9402967;TELEFONIAEINTERNETCEP52019
TELEFONIA E INTERNET;CEP;01/05/2019;66,93;TELEFONIAEINTERNETCEP52019VIVO6693;TELEFONIAEINTERNETCEP52019
TELEFONIA E INTERNET;CEP;01/05/2019;5,793841;TELEFONIAEINTERNETCEP52019VIVO5793841;TELEFONIAEINTERNETCEP52019
TELEFONIA E INTERNET;CIL;01/05/2019;7,968406;TELEFONIAEINTERNETCIL52019VIVO7968406;TELEFONIAEINTERNETCIL52019
TELEFONIA E INTERNET;CIL;14/05/2019;12,932122;TELEFONIAEINTERNETCIL52019TELEM12932122;TELEFONIAEINTERNETCIL52019
TELEFONIA E INTERNET;COM AJU;01/05/2019;161,700059;TELEFONIAEINTERNETCOMAJU52019TIMS1617000590088;TELEFONIAEINTERNETCOMAJU52019
TELEFONIA E INTERNET;COM FOR;01/05/2019;5051,360039;TELEFONIAEINTERNETCOMFOR52019TIMS50513600392686;TELEFONIAEINTERNETCOMFOR52019
TELEFONIA E INTERNET;COM GIG;01/05/2019;154,6900511;TELEFONIAEINTERNETCOMGIG52019TIMS154690051077;TELEFONIAEINTERNETCOMGIG52019
TELEFONIA E INTERNET;COM GRU;01/05/2019;690,1299684;TELEFONIAEINTERNETCOMGRU52019TIMS690129968427;TELEFONIAEINTERNETCOMGRU52019
TELEFONIA E INTERNET;COM JPA;01/05/2019;305,07995;TELEFONIAEINTERNETCOMJPA52019TIMS305079950016;TELEFONIAEINTERNETCOMJPA52019
TELEFONIA E INTERNET;COM MCZ;01/05/2019;205,9900488;TELEFONIAEINTERNETCOMMCZ52019TIMS205990048782;TELEFONIAEINTERNETCOMMCZ52019
TELEFONIA E INTERNET;COM NAT;01/05/2019;3400,799766;TELEFONIAEINTERNETCOMNAT52019TIMS34007997656844;TELEFONIAEINTERNETCOMNAT52019
TELEFONIA E INTERNET;COM REC;01/05/2019;1013,590022;TELEFONIAEINTERNETCOMREC52019TIMS10135900218762;TELEFONIAEINTERNETCOMREC52019
TELEFONIA E INTERNET;COM SSA;01/05/2019;548,4100595;TELEFONIAEINTERNETCOMSSA52019TIMS5484100594572;TELEFONIAEINTERNETCOMSSA52019
TELEFONIA E INTERNET;CONTAB;01/05/2019;3,624275;TELEFONIAEINTERNETCONTAB52019VIVO3624275;TELEFONIAEINTERNETCONTAB52019
TELEFONIA E INTERNET;CONTAB;14/05/2019;5,881925;TELEFONIAEINTERNETCONTAB52019TELEM5881925;TELEFONIAEINTERNETCONTAB52019
TELEFONIA E INTERNET;FINANCEIRO;01/05/2019;10,867826;TELEFONIAEINTERNETFINANCEIRO52019VIVO10867826;TELEFONIAEINTERNETFINANCEIRO52019
TELEFONIA E INTERNET;FINANCEIRO;14/05/2019;17,637662;TELEFONIAEINTERNETFINANCEIRO52019TELEM17637662;TELEFONIAEINTERNETFINANCEIRO52019
TELEFONIA E INTERNET;GF;01/05/2019;6,518696;TELEFONIAEINTERNETGF52019VIVO6518696;TELEFONIAEINTERNETGF52019
TELEFONIA E INTERNET;GF;01/05/2019;49,99;TELEFONIAEINTERNETGF52019VIVO4999;TELEFONIAEINTERNETGF52019
TELEFONIA E INTERNET;GF;14/05/2019;10,579352;TELEFONIAEINTERNETGF52019TELEM10579352;TELEFONIAEINTERNETGF52019
TELEFONIA E INTERNET;GQUALID;01/05/2019;0,724855;TELEFONIAEINTERNETGQUALID52019VIVO0724855;TELEFONIAEINTERNETGQUALID52019
TELEFONIA E INTERNET;GQUALID;14/05/2019;1,176385;TELEFONIAEINTERNETGQUALID52019TELEM1176385;TELEFONIAEINTERNETGQUALID52019
TELEFONIA E INTERNET;GRH;01/05/2019;8,693261;TELEFONIAEINTERNETGRH52019VIVO8693261;TELEFONIAEINTERNETGRH52019
TELEFONIA E INTERNET;GRH;14/05/2019;14,108507;TELEFONIAEINTERNETGRH52019TELEM14108507;TELEFONIAEINTERNETGRH52019
TELEFONIA E INTERNET;GSUPRIM;01/05/2019;2,89942;TELEFONIAEINTERNETGSUPRIM52019VIVO289942;TELEFONIAEINTERNETGSUPRIM52019
TELEFONIA E INTERNET;GSUPRIM;14/05/2019;4,70554;TELEFONIAEINTERNETGSUPRIM52019TELEM470554;TELEFONIAEINTERNETGSUPRIM52019
TELEFONIA E INTERNET;GTI;01/05/2019;2,174565;TELEFONIAEINTERNETGTI52019VIVO2174565;TELEFONIAEINTERNETGTI52019
TELEFONIA E INTERNET;GTI;14/05/2019;3,529155;TELEFONIAEINTERNETGTI52019TELEM3529155;TELEFONIAEINTERNETGTI52019
TELEFONIA E INTERNET;INDENIZ;01/05/2019;0,724855;TELEFONIAEINTERNETINDENIZ52019VIVO0724855;TELEFONIAEINTERNETINDENIZ52019
TELEFONIA E INTERNET;INDENIZ;14/05/2019;1,176385;TELEFONIAEINTERNETINDENIZ52019TELEM1176385;TELEFONIAEINTERNETINDENIZ52019
TELEFONIA E INTERNET;P&G GYN;01/05/2019;623,3399595;TELEFONIAEINTERNETP&GGYN52019TIMS623339959536;TELEFONIAEINTERNETP&GGYN52019
TELEFONIA E INTERNET;PM BEL;01/05/2019;1106,299954;TELEFONIAEINTERNETPMBEL52019TIMS11062999541412;TELEFONIAEINTERNETPMBEL52019
TELEFONIA E INTERNET;PM BHZ;01/05/2019;49,89997485;TELEFONIAEINTERNETPMBHZ52019TIMS498999748482;TELEFONIAEINTERNETPMBHZ52019
TELEFONIA E INTERNET;PM MAO;01/05/2019;40,90005323;TELEFONIAEINTERNETPMMAO52019TIMS409000532328;TELEFONIAEINTERNETPMMAO52019
TELEFONIA E INTERNET;PM SLZ;01/05/2019;586,510067;TELEFONIAEINTERNETPMSLZ52019TIMS5865100669764;TELEFONIAEINTERNETPMSLZ52019
TELEFONIA E INTERNET;PM THE;01/05/2019;399,9200277;TELEFONIAEINTERNETPMTHE52019TIMS3999200276682;TELEFONIAEINTERNETPMTHE52019
VALE TRANSPORTE;CB PNM;02/05/2019;7500;VALETRANSPORTECBPNM52019AGD7500;VALETRANSPORTECBPNM52019
ACORDOS TRABALHISTAS;JURIDICO;14/05/2019;5000;ACORDOSTRABALHISTASJURIDICO52019WAUIR5000;ACORDOSTRABALHISTASJURIDICO52019
ACORDOS TRABALHISTAS;JURIDICO;14/05/2019;5000;ACORDOSTRABALHISTASJURIDICO52019WAUIR5000;ACORDOSTRABALHISTASJURIDICO52019
ACORDOS TRABALHISTAS;JURIDICO;14/05/2019;5150;ACORDOSTRABALHISTASJURIDICO52019WAUIR5150;ACORDOSTRABALHISTASJURIDICO52019
ACORDOS TRABALHISTAS;JURIDICO;14/05/2019;4500;ACORDOSTRABALHISTASJURIDICO52019WAUIR4500;ACORDOSTRABALHISTASJURIDICO52019
ACORDOS TRABALHISTAS;JURIDICO;14/05/2019;4500;ACORDOSTRABALHISTASJURIDICO52019WAUIR4500;ACORDOSTRABALHISTASJURIDICO52019
CONVENIOS;ADM MVF;11/05/2019;203,35;CONVENIOSADMMVF52019CENTR20335;CONVENIOSADMMVF52019
COPA/COZINHA;ADM MVF;06/05/2019;10,6;COPA/COZINHAADMMVF52019WAP106;COPA/COZINHAADMMVF52019
COPA/COZINHA;CB MVF;06/05/2019;53;COPA/COZINHACBMVF52019WAP53;COPA/COZINHACBMVF52019
COPA/COZINHA;COM MVF;06/05/2019;10,6;COPA/COZINHACOMMVF52019WAP106;COPA/COZINHACOMMVF52019
COPA/COZINHA;PM MVF;06/05/2019;31,8;COPA/COZINHAPMMVF52019WAP318;COPA/COZINHAPMMVF52019
DIVERSAS;ADM MVF;06/05/2019;364;DIVERSASADMMVF52019WISLL364;DIVERSASADMMVF52019
ENERGIA ELETRICA;ADM MVF;06/05/2019;148,475;ENERGIAELETRICAADMMVF52019COMPA148475;ENERGIAELETRICAADMMVF52019
ENERGIA ELETRICA;CB MVF;06/05/2019;742,375;ENERGIAELETRICACBMVF52019COMPA742375;ENERGIAELETRICACBMVF52019
ENERGIA ELETRICA;COM MVF;06/05/2019;148,475;ENERGIAELETRICACOMMVF52019COMPA148475;ENERGIAELETRICACOMMVF52019
ENERGIA ELETRICA;PM MVF;06/05/2019;445,425;ENERGIAELETRICAPMMVF52019COMPA445425;ENERGIAELETRICAPMMVF52019
EXAMES MEDICOS;ADM MVF;02/05/2019;120;EXAMESMEDICOSADMMVF52019EDLUC120;EXAMESMEDICOSADMMVF52019
FRETE RODOVIARIO;PM MVF;06/05/2019;450;FRETERODOVIARIOPMMVF52019EDSON450;FRETERODOVIARIOPMMVF52019
MANUTENCAO IMOVEIS;ADM MVF;06/05/2019;60;MANUTENCAOIMOVEISADMMVF52019JAL60;MANUTENCAOIMOVEISADMMVF52019
MANUTENCAO IMOVEIS;CB MVF;06/05/2019;300;MANUTENCAOIMOVEISCBMVF52019JAL300;MANUTENCAOIMOVEISCBMVF52019
MANUTENCAO IMOVEIS;COM MVF;06/05/2019;60;MANUTENCAOIMOVEISCOMMVF52019JAL60;MANUTENCAOIMOVEISCOMMVF52019
MANUTENCAO IMOVEIS;PM MVF;06/05/2019;180;MANUTENCAOIMOVEISPMMVF52019JAL180;MANUTENCAOIMOVEISPMMVF52019
MANUTENCAO CORRETIVA;CB MVF;03/05/2019;112,08;MANUTENCAOCORRETIVACBMVF52019REUNI11208;MANUTENCAOCORRETIVACBMVF52019
MANUTENCAO CORRETIVA;TRANSF NE;02/05/2019;320;MANUTENCAOCORRETIVATRANSFNE52019PARAN320;MANUTENCAOCORRETIVATRANSFNE52019
MANUTENCAO CORRETIVA;PM MVF;06/05/2019;1816,38;MANUTENCAOCORRETIVAPMMVF52019VIAD181638;MANUTENCAOCORRETIVAPMMVF52019
TELEFONIA E INTERNET;ADM MVF;02/05/2019;17;TELEFONIAEINTERNETADMMVF52019BRISA17;TELEFONIAEINTERNETADMMVF52019
TELEFONIA E INTERNET;CB MVF;02/05/2019;85;TELEFONIAEINTERNETCBMVF52019BRISA85;TELEFONIAEINTERNETCBMVF52019
TELEFONIA E INTERNET;COM MVF;02/05/2019;17;TELEFONIAEINTERNETCOMMVF52019BRISA17;TELEFONIAEINTERNETCOMMVF52019
TELEFONIA E INTERNET;PM MVF;02/05/2019;51;TELEFONIAEINTERNETPMMVF52019BRISA51;TELEFONIAEINTERNETPMMVF52019
AGUA;ADM MVF;06/05/2019;60;AGUAADMMVF52019FRANC60;AGUAADMMVF52019
AGUA;CB MVF;06/05/2019;300;AGUACBMVF52019FRANC300;AGUACBMVF52019
